Entity,Code,Year,Annual CO2 emissions
Austria,AUT,1921,19338592
Austria,AUT,1922,18587472
Austria,AUT,1923,17777728
Austria,AUT,1924,20093376
Austria,AUT,1925,18990512
Austria,AUT,1926,18620448
Austria,AUT,1927,20122688
Austria,AUT,1928,21190466
Austria,AUT,1929,24172726
Austria,AUT,1930,18863498
Austria,AUT,1931,18102606
Austria,AUT,1932,15171198
Austria,AUT,1933,14229847
Austria,AUT,1934,13753408
Austria,AUT,1935,13921714
Austria,AUT,1936,13591954
Austria,AUT,1937,15258836
Austria,AUT,1938,5786503
Austria,AUT,1939,6335720
Austria,AUT,1940,7343022
Austria,AUT,1941,7973112
Austria,AUT,1942,8545348
Austria,AUT,1943,9611216
Austria,AUT,1944,9390832
Austria,AUT,1945,4561680
Austria,AUT,1946,12760137
Austria,AUT,1947,17630040
Austria,AUT,1948,24487262
Austria,AUT,1949,26574256
Austria,AUT,1950,20894256
Austria,AUT,1951,23264090
Austria,AUT,1952,22069984
Austria,AUT,1953,21714546
Austria,AUT,1954,24505592
Austria,AUT,1955,29069986
Austria,AUT,1956,28204984
Austria,AUT,1957,29178806
Austria,AUT,1958,28086846
Austria,AUT,1959,27909902
Austria,AUT,1960,30784480
Austria,AUT,1961,31824046
Austria,AUT,1962,33864984
Austria,AUT,1963,36949060
Austria,AUT,1964,38896436
Austria,AUT,1965,38140550
Austria,AUT,1966,39208596
Austria,AUT,1967,39915572
Austria,AUT,1968,42297140
Austria,AUT,1969,44638410
Austria,AUT,1970,50631700
Austria,AUT,1971,52069100
Austria,AUT,1972,56071172
Austria,AUT,1973,60015524
Austria,AUT,1974,57294164
Austria,AUT,1975,54213684
Austria,AUT,1976,58203790
Austria,AUT,1977,55993692
Austria,AUT,1978,57226484
Austria,AUT,1979,61321330
Austria,AUT,1980,52024932
Austria,AUT,1981,55832892
Austria,AUT,1982,53565290
Austria,AUT,1983,51668240
Austria,AUT,1984,54214052
Austria,AUT,1985,54366320
Austria,AUT,1986,53728532
Austria,AUT,1987,57373910
Austria,AUT,1988,52937220
Austria,AUT,1989,53696290
Austria,AUT,1990,62145250
Austria,AUT,1991,65743936
Austria,AUT,1992,60243908
Austria,AUT,1993,60670572
Austria,AUT,1994,61045756
Austria,AUT,1995,64023070
Austria,AUT,1996,67367016
Austria,AUT,1997,67263590
Austria,AUT,1998,66898316
Austria,AUT,1999,65651040
Austria,AUT,2000,66149780
Austria,AUT,2001,70149500
Austria,AUT,2002,71953620
Austria,AUT,2003,77460984
Austria,AUT,2004,77678290
Austria,AUT,2005,79078110
Austria,AUT,2006,76806460
Austria,AUT,2007,74106780
Austria,AUT,2008,73481910
Austria,AUT,2009,67298660
Austria,AUT,2010,72006410
Austria,AUT,2011,69893110
Austria,AUT,2012,67265900
Austria,AUT,2013,67759450
Austria,AUT,2014,64160004
Austria,AUT,2015,66348824
Austria,AUT,2016,67210744
Austria,AUT,2017,69592824
Austria,AUT,2018,66557184
Austria,AUT,2019,67936184
Austria,AUT,2020,62037450
Austria,AUT,2021,64625588
