Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,!!! rt @mayasolovely: as a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,3,0,3,0,1,!!!!! rt @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,3,0,3,0,1,!!!!!!! rt @urkindofbrand dawg!!!! rt @80sbaby4life: you ever fuck a bitch and she start to cry? you be confused as shit
3,3,0,2,1,1,!!!!!!!!! rt @c_g_anderson: @viva_based she look like a tranny
4,6,0,6,0,1,!!!!!!!!!!!!! rt @shenikaroberts: the shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@t_madison_x: the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
6,3,0,3,0,1,"!!!!!!""@__brighterdays: i can not just sit up and hate on another bitch .. i got too much shit going on!"""
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause i'm tired of you big bitches coming for us skinny girls!!&#8221;
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting mariam""

bitch"
10,3,0,3,0,1,""" keeks is a bitch she curves everyone "" lol i walked into a conversation like this. smh"
11,3,0,3,0,1,""" murda gang bitch its gang land """
12,3,0,2,1,1,""" so hoes that smoke are losers ? "" yea ... go on ig"
13,3,0,3,0,1,""" bad bitches is the only thing that i like """
14,3,1,2,0,1,""" bitch get up off me """
15,3,0,3,0,1,""" bitch nigga miss me with it """
16,3,0,3,0,1,""" bitch plz whatever """
17,3,1,2,0,1,""" bitch who do you love """
18,3,0,3,0,1,""" bitches get cut off everyday b """
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """
20,3,0,3,0,1,""" broke bitch cant tell me nothing """
21,3,0,3,0,1,""" cancel that bitch like nino """
22,3,0,3,0,1,""" cant you see these hoes wont change """
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the kermit videos bout to fuck ig up"
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cou2wq5l4q"
25,3,0,2,1,1,""" her pussy lips like heaven doors "" &#128524;"
26,3,0,3,0,1,""" hoe what its hitting for """
27,3,0,3,0,1,""" i met that pussy on ocean dr . i gave that pussy a pill "" &#128524;"
28,3,0,3,0,1,""" i need a trippy bitch who fuck on hennessy """
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
32,3,0,3,0,1,""" if you aint bout that murder game pussy nigga shut up """
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
35,3,0,3,0,1,""" is that ya bitch """
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #shots"
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """
39,3,0,3,0,1,""" like snoop said in 94 we dont love these hoes """
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """
41,3,0,3,0,1,""" most hated but the hoes favorite "" #2mw #sevenone # http://t.co/bmdsvmc3rc"
42,3,0,3,0,1,""" nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick"" http://t.co/bzrdl3kf7u"
43,3,0,3,0,1,""" pimps up pimps up hoes down "" future voice"
44,3,0,3,0,1,""" post a picture of that pussy get 200 likes """
45,3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #happyhumpday http://t.co/r8jsymib5b"
46,3,0,3,0,1,""" quick piece of pussy call it a drive by """
47,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """
48,3,0,3,0,1,""" these bitches even worst they'll send them guys for you """
49,3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """
50,3,1,2,0,1,""" we dont trust these niggas all these bitches """
51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
52,3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@darealkha: ""all da bitches i cut off pregnant or bound to be ....thank god &#128591;""&#8221;"
53,3,0,3,0,1,""" young pill chamberlain these bitches love my music """
54,3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@vandalsavage_: teanna trump probably cleaner than most of these twitter hoes but........."""
55,3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@dahomiefuzz: gay niggas couldn't wait to act like bitches tonight"""
56,3,0,3,0,1,"""&#128514;&#128514;&#128514;@the_paradox: and ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; rt @80sbaby4life: @the_paradox he a bitch you should do it"""
57,3,0,3,0,1,"""&amp; he's gone always be a hoe"""
58,3,0,3,0,1,"""...son of a bitch took my tic tacs.""

i like this movie."
59,3,0,3,0,1,"""..all i wanna do is get money and fuck model bitches!"" - russell simmons"
60,3,0,2,1,1,"""@2015seniorprobs: i probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". retweet"
61,3,0,3,0,1,"""@a7xdemery: i'm a fucking fag they said"""
62,3,0,3,0,1,"""@arizzleindacut: females think dating a pussy is cute now? http://t.co/vxbjg26gsz"" how does doing this stuff make him a pussy?"
63,3,0,0,3,2,"""@addicted2guys: -simplyaddictedtoguys http://t.co/1jl4hi8zmf"" woof woof hot scally lad"
64,3,0,3,0,1,"""@adorebellaaa: have ya ever asked your bitch for other bitches - kanye voice"" yes"
65,3,0,3,0,1,"""@adorezoey: how u gone bring ur side bitch to a game where you know ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" i swear!!!!!"
66,3,0,1,2,2,"""@allaboutmanfeet: http://t.co/3gzupfumev"" woof woof and hot soles"
67,3,0,1,2,2,"""@allyhaaaaa: lemmie eat a oreo &amp; do these dishes."" one oreo? lol"
68,3,0,3,0,1,"""@almightywayne__: @jetsandaswisher @gook____ bitch fuck u http://t.co/pxmga68nc1"" maybe you'll get better. just http://t.co/tprevwfq0s"
69,3,1,2,0,1,"""@almightywayne__: fuck red malone man bitch ass niggah"" could you please use complete sentences?"
70,3,0,0,3,2,"""@arizonasfinest6: why the eggplant emoji doe?""y he say she looked like scream lmao"
71,3,0,3,0,1,"""@autoworid: hennessey venom gt &#128584; http://t.co/i8egmnkaj9"" that's one sexy bitch"
72,3,0,3,0,1,"""@bossbytchh: him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
73,3,0,3,0,1,"""@bro_hen314: #eaglesnation and every #eagles need to see that pic i just posted because that bitch just said the most racist shit"""
74,3,1,2,0,1,"""@bvsedchink: yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/vbczp6hmt7""
@amjemiebenn"
75,3,0,1,2,2,"""@babyanimalpics: baby monkey bathtime http://t.co/7kpwadlf0r""
awwwwe! this is soooo adorable!"
76,3,0,3,0,1,"""@baylaagottabody: &#128514;&#128514;&#128514;&#128514; i ain't shit ."" damn skippy lol"
77,3,1,2,0,1,"""@beeasyjrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""no bs must b &gt;30%chance"
78,3,0,3,0,1,"""@beenbasedb: @_kudabrazyy http://t.co/luubgl9y5u"" 0 rings 0 mvps 0 bitches lol"
79,3,1,2,0,1,"""@beenflynsolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
80,9,0,7,2,1,"""@bestproadvice: the facts on tattoos...tattoo http://t.co/zwnbhpdz8e"" he's a pussy with not tattooing them nipples"
81,3,0,3,0,1,"""@bill215_: &#128175;&#128175;&#128175; rt @nel_ayden bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
82,3,0,3,0,1,"""@bitchjones92: get worshiping bitch! http://t.co/r37cejcjou"" woof woof"
83,3,1,2,0,1,"""@blackchiquitita: wow. rt @thatmanpalmer i'm lost. are those buttcheek piercings? http://t.co/yn6guyouq6"" yeah she's a hoe"
84,3,0,3,0,1,"""@blacknerdjade: ok, sis."" she'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
